,0,1
able,1,1
action,1,0
after,1,1
agreed,1,0
alarm,1,0
alert,0,1
alternative,0,1
an,0,1
and,2,2
another,0,1
area,1,0
ascend,0,1
assistance,0,1
based,1,0
be,1,1
call,1,0
calls,1,0
closed,0,1
communicate,0,1
concerned,1,1
concluded,1,0
cross,0,1
cumbria,2,0
discussion,1,0
dogs,0,1
down,0,1
due,0,1
elevation,0,1
false,1,0
flashing,1,0
following,1,0
for,1,1
from,2,0
further,1,0
gill,0,2
good,2,0
group,1,0
had,1,0
heavy,0,1
help,2,0
high,0,1
higher,0,1
his,0,2
however,0,1
in,1,0
informant,1,0
intent,1,0
intentions,0,1
investigated,1,0
it,1,0
leader,1,0
lights,2,0
likely,1,0
lingmell,0,1
location,1,0
log,0,1
looked,0,1
might,1,0
near,1,0
need,1,0
no,2,1
normal,1,0
observed,1,0
of,2,1
on,1,0
pattern,1,0
phone,1,0
pike,1,0
police,2,0
quickly,0,1
rainfall,0,1
re,0,1
received,2,0
report,1,0
required,1,1
resolved,0,1
route,0,1
scafell,1,0
short,0,1
side,0,1
signal,1,0
summit,1,0
take,0,1
team,1,0
that,3,0
the,4,5
themselves,1,0
they,2,0
this,1,0
to,1,5
two,0,1
unpassable,0,1
walker,1,3
walkers,1,0
was,3,5
were,2,0
which,0,1
who,1,1
with,3,1
would,1,0
