,0,1
999,0,1
able,1,0
al,1,0
along,0,1
also,0,1
an,0,1
and,2,2
another,0,1
area,0,1
arrival,1,0
arrived,0,1
as,0,1
assessed,1,0
at,0,1
be,0,1
bear,1,0
been,0,1
before,0,1
believed,0,1
blea,1,0
box,0,1
brackenclose,0,1
but,0,2
by,0,1
call,0,2
called,1,0
callout,1,0
calls,0,1
car,0,1
carried,0,1
cold,0,1
concerned,0,1
conduct,0,1
could,0,1
cumbria,1,2
day,0,1
deployed,0,2
deployment,0,1
directed,0,2
dog,0,1
dropped,0,1
empty,0,1
eskdale,0,1
evening,0,1
express,1,0
family,1,1
first,0,1
for,0,1
from,1,1
full,1,1
further,0,3
good,0,1
had,1,0
have,0,1
he,1,0
hill,1,2
him,1,0
hospital,1,0
huge,0,1
in,1,2
incident,1,1
information,0,2
injury,1,0
insufficient,0,1
investigation,0,1
it,0,1
justify,0,1
keswick,0,1
la,1,0
last,0,1
leader,1,1
leg,1,0
light,0,1
located,0,1
log,0,1
long,0,1
lower,1,0
made,1,0
main,0,1
matched,0,1
medical,1,0
member,0,1
members,1,0
mention,0,1
mickledore,0,1
morning,0,1
mrt,0,3
near,1,0
of,1,2
off,1,1
on,1,1
once,1,0
one,0,1
open,0,1
or,0,1
originally,0,1
our,1,0
out,0,1
outcome,0,1
over,0,1
overdue,0,1
overnight,0,1
own,1,0
passing,1,0
people,0,1
perfectly,1,0
pike,0,1
police,1,2
potentially,0,1
quickly,0,1
ratty,1,0
received,0,2
recovery,1,0
regarding,1,0
relatively,0,1
remained,0,1
remote,1,0
replayed,0,1
reporting,0,1
rescue,1,0
road,1,0
routes,0,1
rrmts,1,0
safe,0,1
santa,1,0
scafell,0,1
scene,1,0
search,0,2
searches,0,1
searching,0,1
series,0,1
sheltering,0,1
stretcher,0,1
stretchered,1,0
sustained,1,0
swift,1,0
tarn,1,0
team,2,2
technicians,1,0
thankfully,0,1
the,10,8
their,1,0
then,2,0
these,0,1
timed,1,0
to,4,7
train,1,0
transport,1,0
treated,1,0
tuesday,0,1
two,0,2
unable,1,0
valley,1,0
vehicle,1,0
walked,0,1
walker,3,0
walkers,0,2
was,3,6
wasdale,0,2
we,1,0
weight,1,0
were,1,2
what,0,1
while,0,1
who,1,0
wish,1,0
with,1,1
without,1,1
